Model,Average,ARC(25-shot),HellaSwag(10-shot),MMLU(5-shot),TruthfulQA(0-shot),Parameters,URL
Sao10K/Euryale-L2-70B,69.84,68.9,87.1,68.8,54.5,38.88888888888889,https://huggingface.co/Sao10K/Euryale-L2-70B
NousResearch/Nous-Hermes-Llama2-70b,69.79,67.6,86.8,69.7,55.0,38.88888888888889,https://huggingface.co/NousResearch/Nous-Hermes-Llama2-70b
v2ray/LLaMA-2-Jannie-70B-QLoRA,69.72,68.9,86.9,69.4,53.7,38.88888888888889,https://huggingface.co/v2ray/LLaMA-2-Jannie-70B-QLoRA
jondurbin/airoboros-l2-70b-gpt4-m2.0,69.59,70.0,87.8,70.7,49.8,38.88888888888889,https://huggingface.co/jondurbin/airoboros-l2-70b-gpt4-m2.0
jondurbin/airoboros-l2-70b-gpt4-m2.0,69.51,70.0,87.8,70.5,49.8,38.88888888888889,https://huggingface.co/jondurbin/airoboros-l2-70b-gpt4-m2.0
OpenAssistant/llama2-70b-oasst-sft-v10,69.4,67.1,86.4,67.7,56.4,38.88888888888889,https://huggingface.co/OpenAssistant/llama2-70b-oasst-sft-v10
yeontaek/llama-2-70B-ensemble-v8,69.37,67.2,84.6,63.6,62.1,38.88888888888889,https://huggingface.co/yeontaek/llama-2-70B-ensemble-v8
jondurbin/airoboros-l2-70b-gpt4-2.0,69.15,68.5,87.9,70.4,49.8,38.88888888888889,https://huggingface.co/jondurbin/airoboros-l2-70b-gpt4-2.0
elinas/chronos-70b-v2,69.14,68.1,86.5,68.3,53.7,38.88888888888889,https://huggingface.co/elinas/chronos-70b-v2
fangloveskari/Platypus_QLoRA_LLaMA_70b,72.94,72.1,87.5,71.0,61.2,38.88888888888889,https://huggingface.co/fangloveskari/Platypus_QLoRA_LLaMA_70b
yeontaek/llama-2-70B-ensemble-v5,72.86,71.2,87.2,69.6,63.4,38.88888888888889,https://huggingface.co/yeontaek/llama-2-70B-ensemble-v5
TheBloke/Genz-70b-GPTQ,72.82,71.1,87.6,70.3,62.3,38.88888888888889,https://huggingface.co/TheBloke/Genz-70b-GPTQ
TheBloke/Platypus2-70B-Instruct-GPTQ,72.81,71.2,87.6,69.9,62.5,38.88888888888889,https://huggingface.co/TheBloke/Platypus2-70B-Instruct-GPTQ
psmathur/model_007,72.72,71.1,87.6,69.0,63.1,0.0,https://huggingface.co/psmathur/model_007
yeontaek/llama-2-70B-ensemble-v4,72.64,70.9,87.3,69.7,62.6,38.88888888888889,https://huggingface.co/yeontaek/llama-2-70B-ensemble-v4
psmathur/orca_mini_v3_70b,72.64,71.2,87.8,70.2,61.3,38.88888888888889,https://huggingface.co/psmathur/orca_mini_v3_70b
